HSN,NAME,GST,,,,,
0302.64.00,"Mackerel (scomber scombrus, scomber australasicus, scomb er japonicus)",0,,,,,
0302.65.00,"Dogfish and other sharks, dogfish (squalus spp)",0,,,,,
0302.66.00,Eels (anguilla spp),0,,,,,
0302.69.00,"Sablefish (anoplopoma fimbria),lingcod (ophiodon elongatus), monkfish (lophius spp)",0,,,,,
0302.70.00,"Livers and roes, mullet roe",0,,,,,
0303.00.00,"Fish, Frozen (excluding fish fillets and other fish meat)",5,,,,,
0303.10.00,"Pacific salmon (oncorhynchus spp), excludinglivers and roes:",5,,,,,
0303.11.00,Chinook (king),5,,,,,
0303.12.00,Chum (dog),5,,,,,
0303.13.00,Pink (humpie),5,,,,,
0303.14.00,Sockeye (red),5,,,,,
0303.15.00,Coho (silver),5,,,,,
0303.16.00,"Other , other salmonidae, excluding livers and roes:",5,,,,,
0303.21.00,"Trout (salmo trutta, salmo gairdneri, salmo, clarki, salmo aguabonita, salmo gilae)",5,,,,,
0303.22.00,Tlantic salmon (salmo salar) and danube salmon (hucho hucho),5,,,,,
0303.29.00,"Other flat fish (pleuronectidae, bothidae, cynoglossidae,soleidae, scophthalmidae and citharidae), excluding livers and roes:",5,,,,,
0303.31.00,"Halibut and greenland turbot (reinhardtius, hippoglossoides,hippoglossus hippoglossus, hippoglossus stenolepis):",5,,,,,
0303.32.00,Plaice (pleuronectes platessa),5,,,,,
0303.33.00,Sole (solea spp),5,,,,,
0303.39.00,"Tunas (of genus thunnus), skipjack or stripe-bellied bonito (euthynnus (katsuwonus pelamis), excluding livers and roes:",5,,,,,
0303.41.00,Albacore or longfinned tunas (thunnus alalunga),5,,,,,
0303.42.00 �,Yellowfin tunas (thunnus albacares),5,,,,,
0303.43.00 �,Skipjack or stripe-bellied bonito,5,,,,,
0303.49.00,Bluefin (thunnus thynnus),5,,,,,
0303.50.00,"Herrings (clupea harengus, clupea pallasii),excluding livers and roes",5,,,,,
0303.60.00,"Cod (gadus morhua, gadus ogac, gadus macrocephalus), other fish, excluding livers and roes:",5,,,,,
0303.71.00,"Sardines (sardina pilchardus, sardinops spp), sardinella (sardinella spp), brisling or sprats(sprattus sprattus)",5,,,,,
0303.72.00,Haddock (melanogrammus aeglefinus),5,,,,,
0303.73.00,Atlantic pollock (pollachius virens),5,,,,,
0303.74.00,"Mackerel (scomber scombrus, scomber australasicus, scomber japonicus)",5,,,,,
0303.75.00,"Dogfish and other sharks, dogfish (squalus spp)",5,,,,,
0303.76.00,Eels (anguilla spp),5,,,,,
0303.77.00,"Sea bass (dicentrarchus labrax, dicentrarchus punctatus)",5,,,,,
0303.78.00,Whiting (merluccius spp) and hake (urophycis spp),5,,,,,
0303.79.00,"Tilapia (tilapiinae), mullet , monkfish (lophius spp), butterfish, sablefish (anoplopoma fimbria)",5,,,,,
0303.80.00,"Livers and roes sturgeon roe , herring roe, salmon roe alaska pollock (theragra chalcogramma) roe mullet roe",5,,,,,
0304.00.00,"Fish fillets and other fish meat (whether or not minced), fresh or chilled",0,,,,,
0304.00.00,"Fish fillets and other fish meat (whether or not minced), frozen",5,,,,,
0304.10.00,Fresh or chilled: tilapia (tilapiinae),0,,,,,
0304.10.00,Frozen: tilapia (tilapiinae) ,5,,,,,
0304.11.00,Sword fish (Xiphias gladius) - fresh or chilled,0,,,,,
0304.21.00,Sword fish (Xiphias gladius) - frozen,5,,,,,
0304.12.00,Tooth fish (Dissostichus spp.) - fresh or chilled,0,,,,,
0304.22.00,Tooth fish (Dissostichus spp.) - frozen,5,,,,,
0304.19.00,"Other - Hilsa, shark, seer, tuna, cuttlefish - fresh or chilled",0,,,,,
0304.29.00,"Other - Hilsa, shark, seer, tuna, cuttlefish - frozen",5,,,,,
0304.20.00,"Frozen fillets: cod halibut , fresh-water catfish, tilapia (tilapiinae) alaska pollock (theragra chalcogramma)",5,,,,,
0304.90.00,"Other: minced: surim, alaska pollock (theragra chalcogramma) - fresh or chilled",0,,,,,
0304.90.00,"Other: minced: surim, alaska pollock (theragra chalcogramma) - frozen",5,,,,,
0305.00.00,"Fish, dried, salted or in brine; smoked fish; whether or not cooked before or during the smoking process; flours, meals and pellets, of fish fit for human consumption",5,,,,,
0305.10.00,"Flours, meals and pellets of fish, fit for human consumption",5,,,,,
0305.20.00,"Livers and roes, dried, smoked, salted or in brine, salmon roe, herring roe",5,,,,,
0305.30.00,"Fish fillets, dried, salted or in brine, but not smoked smoked fish, including fillets:",5,,,,,
0305.41.00,"Pacific salmon (oncorhynchus spp), atlantic salmon (salmo salar) and danube salmon (hucho hucho)",5,,,,,
0305.42.00,"Herrings (clupea harengus, clupea pallasii)",5,,,,,
0305.49.00,"Other, dried fish, whether or not salted but not smoked:",5,,,,,
0305.51.00,"Cod (gadus morhua, gadus ogac, gadus macrocephalus)",5,,,,,
0305.59.00,"Other fish, salted but not dried or smoked and fish in brin",5,,,,,
0305.61.00,"Herrings (clupea harengus, clupea pallasii)",5,,,,,
0305.62.00,"Cod (gadus morhua, gadus ogac, gadus macrocephalus)",5,,,,,
0305.63.00,Anchovies (engraulis spp),5,,,,,
0305.69.00,Other fish (salted or in brine),5,,,,,
0306.00.00,"Crustaceans, whether in shell or not, live, fresh or chilled; crustaceans, in shell, cokked by steaming or by boiling in water, chilled",0,,,,,
0306.00.00,"Crustaceans, whether in shell or not, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, frozen, dried, salted or in brine; flours, meals and pellets of crustaceans, fit for human consumption.",5,,,,,
0306.11.00,Rock lobster and other sea crawfish - frozen,5,,,,,
0306.21.00,Rock lobster and other sea crawfish - not frozen,0,,,,,
0306.12.00,Lobsters (homarus spp)- frozen,5,,,,,
0306.22.00,Lobsters (homarus spp) - not forzen,0,,,,,
0306.13.00,Shrimps and prawns - frozen,5,,,,,
0306.23.00,Shrimps and prawns - not frozen,0,,,,,
0306.14.00,Crabs: crabmeat - frozen,5,,,,,
0306.24.00,Crabs: crabmeat - not frozen,0,,,,,
0306.19.00,"Other, including flours, meals and pellets of crustaceans, fit for human consumption - frozen",5,,,,,
0306.29.00,"Other, including flours, meals and pellets of crustaceans, fit for human consumption - not frozen",5,,,,,
0307.00.00 �,"Molluscs, whether in shell or not, live, fresh or chilled; auatic inverterbrates other than crustaceans and molluscs live, fresh, chilled",0,,,,,
0307.00.00 �,"Molluscs, whether in shell or not, frozen, dried, salted or in brine; auatic invertebrates other than crustaceans and molluscs, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebra other than crustaceans, fit for human consumption.",5,,,,,
0307.10.00,"Oysters - Live, fresh or chilled",0,,,,,
0307.14.00,"Other, scallops, including queen scallops, of the genera pecten, chlamys or placopecten - live, fresh or chilled",0,,,,,
0307.29.00,"Other, mussels (mytilus spp, perna spp): live, fresh or chilled:",0,,,,,
0307.31.00,"Farmed, cuttle fish (sepia officinalis, rossia macrosoma,sepiola spp) and squid (ommastrephes spp, loligo spp, nototodarus spp, sepioteuthis spp): live, fresh and chilled",0,,,,,
0307.39.10,"Clams, clam meat - live, fresh and chilled",0,,,,,
0307.41.00,"Live, fresh or chilled: squid: loligo",0,,,,,
0307.49.00,"Squid: frozen fillets, loligo: loligo opalescens, loligo pealei, octopus (octopus spp):",5,,,,,
0307.49.10,"Squid tubes, frozen",5,,,,,
0307.49.20,"Whole squids, frozen",5,,,,,
0307.49.30,Dried squids,5,,,,,
0307.51.00,"OctopusLive, fresh or chilled",0,,,,,
0307.60.00,"Snails, other than sea snails, other, including flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption:",5,,,,,
0307.91.00,"Live, fresh or chilled: sea urchin: roe, conch",0,,,,,
0307.99.00,"Live, fresh or chilled: sea urchin: roe, conch: Other",0,,,,,
0307.99.20,"Jelly fish, dried, salted or frozen",5,,,,,
0307.99.90,"Jelly fish, dried, salted or frozen: Other",5,,,,,
0308.00.00 �,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh or chilled; ",0,,,,,
0308.00.00 �,"Aquatic invertebrates other than crustaceans and molluscs, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process; flours meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption.",5,,,,,
0401.00.00,"Fresh milk and pateurised milk, including separated milk, milk and cream, not concentrated nor containing added sugar or other sweetening matter  (Excluding Ultra high temperature (UTH) milk",0,,,,,
0401.00.00,Ultra high temperature (UTH) milk,5,,,,,
0401.10.00,"Fresh Milk of a fat content, by weight, not exceeding 1 percent liters",0,,,,,
0401.20.00,"Fresh milk of a fat content, by weight, exceeding 1 percent but not exceeding 6 percent liters",0,,,,,
0401.30.00,"Fresh milk of a fat content, by weight, exceeding 6 percent liters",0,,,,,
0402.00.00,"Milk and cream, concentrated or containing added sugar or other sweetening matter including skimmed milk powder, milk food for babies, excluding condensed milk",5,,,,,
0402.10.00,"In powder, granules or other solid forms, of a fat content,by weight, not exceeding 15 percent in powder, granules or other solid forms, of a fat content, by weight, exceeding 15percent",5,,,,,
0402.10.10,Skimmed milk powder and UHT milk,5,,,,,
0402.10.20,"Milk and cream in powder, granules or other solid forms, of a fat content by weight not exceeding 1.5 - Milk food for babies",5,,,,,
0402.10.90,"Milk and cream in powder, granules or other solid forms, of a fat content by weight not exceeding 1.5 - Other",5,,,,,
0402.21.00,"Milk and cream in powder, granules or other solid forms, of a fat content by weight exceeding 1.5 -  Not containing added sugar or other sweetening matter",5,,,,,
0402.29.00,"Milk, cream (sweetened, fat content exceeding 1.5)",5,,,,,
0402.29.10,"Whole Milk (sweetened, fat content exceeding 1.5)",5,,,,,
0402.29.20,"Milk powder for babies (sweetened, fat content exceeding 1.5)",5,,,,,
0402.91.00 �,Not containing added sugar or other sweetening matter,5,,,,,
0402.91.10 �,Condensed milk - Not containing added sugar or other sweetening matter,18,,,,,
0402.99.20,Condensed milk - Not containing added sugar or other sweetening matter,18,,,,,
0402.99.00,"Milk, cream (concentrated or sweetened)(Other whole milk)",5,,,,,
0403.00.00,"Cream, yogurt, kephir and other fermented or acidified milk and cream, wheter or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa.",5,,,,,
0403.10.00,Yogurt,5,,,,,
0403.90.00,Buttermilk,0,,,,,
0403.90.00,Curd,0,,,,,
0403.90.00,Lassi,0,,,,,
0404.00.00,"Whey , whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter not elsewhere specified or included.",5,,,,,
0404.10.00,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: modified whey: whey protein concentrates.",5,,,,,
0404.90.00,Other products consisting of natural milk constituents,5,,,,,
0405.00.00,"Butter and other fats (ghee, butter oil etc.,)  and oils derived from milk; dairy spreads",12,,,,,
0405.10.00,Butter,12,,,,,
0405.20.00,Dairy spreads,12,,,,,
0405.90.10,Butter oil,12,,,,,
0405.90.20,Ghee,12,,,,,
0406.00.00,Chena or paneer,0,,,,,
0406.00.00,Chena or paneer put up in unit container and bearing a registered brand name,5,,,,,
0406.10.00,Curd (Fresh),0,,,,,
0406.10.00,"Fresh (unripened or uncured) cheese, including whey cheese",12,,,,,
0406.20.00,"Grated or powdered cheese, of all kinds",12,,,,,
0406.30.00,"Processed (process) cheese, not grated or powdered (Cottage Cheese (Paneer))",12,,,,,
0406.40.00 �,Blue-veined cheese,12,,,,,
0406.90.00,"Other cheese: cheddar cheese , colby , other, including mixtures",12,,,,,
0407.00.00,"Birds' eggs, in shell, fresh, preserved or cooked:",0,,,,,
0407.00.00,"Birds' eggs, in the shell, fresh, preserved or cooked",0,,,,,
0407.00.10,Sepcies gallus domesticus and ducks for hatching,0,,,,,
0407.00.20,Eggs of the species gallus amd ducks other that for hatching,0,,,,,
0407.00.90,"Birds' eggs, in shell, fresh, preserved or cooked:Other",0,,,,,
0407.20.00,"Birds' eggs, in shell, fresh, preserved or cooked: For hatching doz",0,,,,,
0407.40.00,"Birds' eggs, in shell, fresh, preserved or cooked: Other doz",0,,,,,
0408.00.00,"Birds eggs, not in shell, and egg yolks, fresh, dried, cooked by styeaming or by boiling in water, moulded, frozen or otherwise preserved whether or not containing added sugar or other sweetening matter.",5,,,,,
0408.11.00,Egg yolks (dried),5,,,,,
0408.19.00,"Egg yolks (fresh, frozen, other preserved; not dried)",5,,,,,
0408.99.00,"Birds' eggs (not in shell; frozen, preserved or cooked)",5,,,,,
0409.00.00,"Natural Honey, other than put up in unit containiner and bearing a registered brand name",0,,,,,
0409.00.00,"Natural Honey, put up in unit containiner and bearing a registered brand name",5,,,,,
0409.10.00,Natural honey,0,,,,,
0409.20.00,Packaged for retail sale,5,,,,,
0410.00.00,"Edible products of animal origin, not elsewhere specified or included",5,,,,,
0410.00.10,Edible products of wild animal,5,,,,,
0410.00.20,Edible products of Turtle eggs and Salanganes nests,5,,,,,
0410.00.90,"Edible products of animal origin, nesoi: Other",5,,,,,
0501.00.00,"Human hair, unworked , whether or not washed or scoured; waste of human hair",0,,,,,
0501.00.10,"Human hair unworked, whether or not washed or scoured",0,,,,,
0501.00.20,Human hair waste,0,,,,,
0502.00.00,"Pigs', hogs' or boars' bristles and hair ; badger hair and other brush making hair; waste of such bristles or hair.",5,,,,,
0502.10.10,"Pigs', hogs' or boars' bristles and hair ",5,,,,,
0502.10.00,"Waste of Pigs', hogs' or boars' bristles and hair ",5,,,,,
0502.90.10,Badger hair and other brushmaking hair ,5,,,,,
0502.90.20,Yak hair and other brushmaking hair ,5,,,,,
0503.00.00,"Horsehair (as defined in note 4) and horsehair waste, whether or not put up as a layer with or without supporting material",5,,,,,
0504.00.00,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof; fresh, chilled, frozen, salted, in brine, dried or smoked",5,,,,,
0504.00.10,"Guts of cattle fornatural food casings  fresh, chilled, frozen, salted, in brine, dried or smoked",5,,,,,
0504.00.20,"Guts of cattle sheep and goats for natural food casings  fresh, chilled, frozen, salted, in brine, dried or smoked",5,,,,,
0504.00.31,Guts of other wild animals for natural food casings,5,,,,,
0504.40.00 �,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof: prepared for use as sausage casings:",5,,,,,
0505.00.00,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, notfurther worked than cleaned, disinfected or treate for preservation; powder and waste of feathers or parts of feathers",5,,,,,
0505.10.10,Feathers of a kind used for stuffing  down of wild birds,5,,,,,
0505.90.10,Peacock tail and wind feather (trimmed or not),5,,,,,
0505.90.21,Other feather (excluding for stuffing pupose) of wild birds,5,,,,,
0505.90.31,Powder and waste of feathers or other parts of feathers of wild birds,5,,,,,
0505.90.91,Skins and other parts of birds of wild birds,5,,,,,
0506.00.00,"Bones & horn cores, unworked , defatted, simply prepared (but not cut to shape), treated with acid or glatinised; powder and waste of these products.",5,,,,,
0506.10.00,Ossein and bones treated with acid,5,,,,,
0506.10.11,"Bones including horn cores, crushed of wild animlas",5,,,,,
0506.10.21,Bone grist of wild animals,5,,,,,
0506.10.31,Ossein of wild animals,5,,,,,
0506.10.41,"Bones, hon-cones and parts thereof, not crushed: of wild animals",5,,,,,
0506.90.11,Bone meal of wild animals,5,,,,,
0506.90.91,"Bones, horn-cores (unworked, defatted, degelatinized); powder and waste of wild animals",5,,,,,
0507.00.00,"Ivory, tortoise-shell, whalebone, and wharebone hair, horns, antlers, hoovers, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products",5,,,,,
0507.10.20,Ivory powder and waste,5,,,,,
0507.90.00,"Tortoise-shell, whalebone, antlers, hooves, claws; their powder and waste",5,,,,,
0507.90.10,Hoof meal powder and waste,5,,,,,
0507.90.30,"Hooves, claws, nails and beaks powder and waste",5,,,,,
0507.90.40,Antlers powder and waste,5,,,,,
0507.90.50,Buffalo horns powder and waste,5,,,,,
0507.90.60,Tortoise shell powder and waste,5,,,,,
0507.90.70,Claws and waste of tortoise sheel powder and waste,5,,,,,
0507.90.90,"Tortoise-shell, whalebone, antlers, hooves, claws; their powder and waste: Other",5,,,,,
0508 .00.00,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs,crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape; powder and waste thereof",5,,,,,
0508 .00.10,"Coral unworked, powder/waste",5,,,,,
0508 .00.20,"Chanks unworked, powder/waste",5,,,,,
0508 .00.30,"Cowries unworked, powder/waste",5,,,,,
0508 .00.40,"Cuttlefishl unworked, powder/waste",5,,,,,
0508 .00.50,"Shells unworked, powder/waste",5,,,,,
0508 .00.90,"shells of molluscs,crustaceans or echinoderms and cuttlebone, unworked, powder/waste ",5,,,,,
0509.00.00,Natural sponges of animal origin,5,,,,,
0510.00.00,"Ambergris, castoreum, civet and musk; cantharides; bile, wether or not dried; glands and other animal products used in the preparation of pharmaceutical products , fresh, chilled, frozen or otherwise provisionally preserved.",5,,,,,
0511.00.00,"Animal products not elsewhere specified or included; dead animals of chapter 1 or3, unfit for human consumption, other than semen including frozen semen.",5,,,,,
0511.10.00,Bovine (bull) semen,5,,,,,
0511.91.00,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of chapter 3",5,,,,,
0511.91.10,Fish nails,5,,,,,
0511.91.20,Fish tails ,5,,,,,
0511.91.30,Other fish waste,5,,,,,
0511.99.11,Silkworm pupae - Artemia,5,,,,,
0511.99.29,Sinews and tendons of wild life,5,,,,,
0511.99.91,Semen inclduing frozen semen,0,,,,,
0601.00.00,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormat, in growth or in flower; chicory plants and roots other than roots of heading 1212",0,,,,,
